총인구수,세대수,세대당인구,남자인구수,여자인구수,남여비율,행정코드,구분,구,동,성비,여성비율,시_인구비중,유형,세대당인구_편차,면적,위도,경도,인구밀도,지역유형,세대구조,성비구분
27271,10381,2.63,13267,14004,0.95,4146357700,읍면동,기흥구,동백3동,94.73721793773208,51.35125224597557,2.499207284550938,동,0.19999999999999973,1.4606429189443588,37.279557637838174,127.14707212868964,18670.545447007265,가족중심·여성우위,가족중심,여성우위
22988,9155,2.51,11079,11909,0.93,4146358600,읍면동,기흥구,상하동,93.03048114871106,51.80528971637376,2.1066985830096794,동,0.07999999999999963,5.704470984637737,37.26209940550638,127.14360413703568,4029.8215315508096,가족중심·여성우위,가족중심,여성우위
35947,13552,2.65,17577,18370,0.96,4146359000,읍면동,기흥구,보정동,95.68317909635275,51.10301276879851,3.294305462130196,동,0.21999999999999975,6.786376174539328,37.30943062959351,127.10743744139621,5296.935960441384,가족중심·여성우위,가족중심,여성우위
34599,15662,2.21,17284,17315,1.0,4146551000,읍면동,수지구,풍덕천1동,99.8209644816633,50.04479898262956,3.17077015284287,동,-0.2200000000000002,1.6345320902764797,37.328024717406855,127.0945071059462,21167.52568262371,소규모세대·남성우위,소규모세대,남성우위
41219,15395,2.68,20287,20932,0.97,4146552000,읍면동,수지구,풍덕천2동,96.91859354098987,50.782406171911006,3.7774494907376015,동,0.25,1.8284977562725544,37.31996911278317,127.08994825565372,22542.548853888737,가족중심·여성우위,가족중심,여성우위
41065,14748,2.78,19846,21219,0.94,4146553000,읍면동,수지구,신봉동,93.52938404260333,51.67173992450992,3.763336406442165,동,0.34999999999999964,6.539766810834408,37.33244867539712,127.05758773610029,6279.275880596807,가족중심·여성우위,가족중심,여성우위
28969,11066,2.62,13999,14970,0.94,4146554000,읍면동,수지구,죽전1동,93.51369405477622,51.67592944181712,2.654817785418801,동,0.18999999999999995,2.3088508062064648,37.33293277509721,127.12913749001129,12546.934571141579,가족중심·여성우위,가족중심,여성우위
17110,7155,2.39,8320,8790,0.95,4146555000,읍면동,수지구,죽전2동,94.65301478953356,51.373465809468144,1.568018651265687,동,-0.040000000000000036,1.1937035396695137,37.330746344213466,127.10722615290629,14333.542149617015,소규모세대·여성우위,소규모세대,여성우위
26294,10920,2.41,12765,13529,0.94,4146555500,읍면동,수지구,죽전3동,94.35287160913593,51.45280292081844,2.4096716783389818,동,-0.020000000000000018,2.2542517371475697,37.32454840378294,127.12546532179385,11664.180875056689,가족중심·여성우위,가족중심,여성우위
50787,19711,2.58,24887,25900,0.96,4146556000,읍면동,수지구,동천동,96.08880308880309,50.99730245929076,4.654293585144971,동,0.1499999999999999,16.528168581426144,37.35025193442229,127.0571439105827,3072.754234675032,가족중심·여성우위,가족중심,여성우위
19740,6534,3.02,9413,10327,0.91,4146557000,읍면동,수지구,상현1동,91.149414157064,52.31509625126647,1.8090408051422948,동,0.5899999999999999,0.8695231527090073,37.30687689055172,127.07839158681591,22702.0982000305,가족중심·여성우위,가족중심,여성우위
32659,11413,2.86,15811,16848,0.94,4146558000,읍면동,수지구,상현2동,93.84496676163343,51.587617502066806,2.9929819480821784,동,0.4299999999999997,1.5740865506231785,37.30533649298554,127.08766700618047,20747.90613455807,가족중심·여성우위,가족중심,여성우위
27231,11096,2.45,13133,14098,0.93,4146558500,읍면동,수지구,상현3동,93.15505745495814,51.771877639455035,2.4955415483703054,동,0.020000000000000018,2.5784488432109356,37.302010013384425,127.06911451832464,10561.000685237295,가족중심·여성우위,가족중심,여성우위
54421,18723,2.91,26175,28246,0.93,4146559000,읍면동,수지구,성복동,92.66798838773632,51.90275812645854,4.987325717155462,동,0.48,5.035774778574705,37.31940632714563,127.06048539721142,10806.877271704154,가족중심·여성우위,가족중심,여성우위
